iteration,repeat_count,carried_forward_count,motor_step_error_mean,motor_step_error_std,method_key,method_label,method_kind
21,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
22,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
23,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
24,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
25,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
26,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
27,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
28,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
29,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
30,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
31,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
32,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
33,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
34,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
35,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
36,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
37,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
38,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
39,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
40,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
41,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
42,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
43,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
44,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
45,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
46,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
47,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
48,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
49,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
50,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
0,10,0,2768.011159009592,781.4585533890221,gemini_3_5_flash,Gemini 3.5 Flash,llm
1,10,0,2190.759721236931,1799.8355924317966,gemini_3_5_flash,Gemini 3.5 Flash,llm
2,10,0,5186.922443725497,1849.9042205766962,gemini_3_5_flash,Gemini 3.5 Flash,llm
3,10,0,3716.307362711087,2411.1811503584177,gemini_3_5_flash,Gemini 3.5 Flash,llm
4,10,0,3935.9172336954202,3168.401477348789,gemini_3_5_flash,Gemini 3.5 Flash,llm
5,10,0,3681.511534623278,2314.233355283429,gemini_3_5_flash,Gemini 3.5 Flash,llm
6,10,0,3323.582979936188,2380.027935288549,gemini_3_5_flash,Gemini 3.5 Flash,llm
7,10,0,3220.035646147387,2320.106663625662,gemini_3_5_flash,Gemini 3.5 Flash,llm
8,10,1,3243.4068506243443,3382.312752692399,gemini_3_5_flash,Gemini 3.5 Flash,llm
9,10,1,3475.522727769402,3806.8559889812736,gemini_3_5_flash,Gemini 3.5 Flash,llm
10,10,3,2504.848196779263,3513.7189875451327,gemini_3_5_flash,Gemini 3.5 Flash,llm
11,10,6,2410.4590460762684,3691.2103837192435,gemini_3_5_flash,Gemini 3.5 Flash,llm
12,10,7,2438.4404432208016,3715.4170851355066,gemini_3_5_flash,Gemini 3.5 Flash,llm
13,10,8,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
14,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
15,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
16,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
17,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
18,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
19,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
20,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
21,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
22,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
23,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
24,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
25,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
26,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
27,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
28,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
29,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
30,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
31,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
32,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
33,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
34,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
35,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
36,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
37,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
38,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
39,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
40,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
41,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
42,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
43,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
44,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
45,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
46,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
47,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
48,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
49,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
50,10,10,2212.448939487411,3712.763748979253,gemini_3_5_flash,Gemini 3.5 Flash,llm
0,10,0,2768.011159009592,781.4585533890221,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
1,10,0,9259.542634789384,2390.807788760411,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
2,10,0,6863.858163753251,2413.7445800336995,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
3,10,0,5243.518465660777,2134.3251861665635,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
4,10,0,5711.219945520219,3131.067644304951,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
5,10,1,4321.4563337019545,2229.80085207109,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
6,10,4,3889.774187058623,2122.276627087166,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
7,10,4,4340.719774693483,1967.5837798299624,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
8,10,4,3312.6571716783824,2462.5935657188256,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
9,10,5,3374.9604069840802,2408.584197151202,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
10,10,5,3343.3187739620494,2577.355961202811,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
11,10,5,3275.7217554588183,2410.1601562307014,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
12,10,6,3264.3423874714526,2537.199807608813,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
13,10,6,3380.5754215980196,2420.998788123835,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
14,10,7,3424.378709335537,2374.1227046472645,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
15,10,8,3495.1527791245717,2332.6903996548667,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
16,10,8,3528.5443567337943,2320.226287470468,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
17,10,8,3474.5690628299717,2343.368332508868,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
18,10,8,3424.7683930439343,2374.936666759597,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
19,10,9,3007.167867487693,1800.0325974670322,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
20,10,9,3024.1838634426686,1808.246467988309,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
21,10,9,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
22,10,9,3404.799846601617,2333.6990676657533,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
23,10,9,3403.8015016288127,2331.663101619729,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
24,10,9,3402.8031609676045,2329.6296433622424,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
25,10,9,3401.804824634848,2327.598699444718,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
26,10,9,3400.8064926474885,2325.5702764332127,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
27,10,9,3399.808165022559,2323.5443809084095,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
28,10,9,3398.809841777181,2321.5210194656083,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
29,10,9,3397.811522928566,2319.5001987147193,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
30,10,9,3396.8132084940153,2317.4819252802504,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
31,10,9,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
32,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
33,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
34,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
35,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
36,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
37,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
38,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
39,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
40,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
41,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
42,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
43,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
44,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
45,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
46,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
47,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
48,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
49,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
50,10,10,3405.798195869248,2335.737534963534,qwen3_vl_32b_instruct,Qwen3-VL-32B-Instruct,llm
0,10,0,2768.011159009592,781.4585533890221,bayes,Bayesian optimization,oracle
1,10,0,2519.965093733231,831.3567400915422,bayes,Bayesian optimization,oracle
2,10,0,2436.4636360119744,912.552555802379,bayes,Bayesian optimization,oracle
3,10,0,2251.025057886201,1139.827418110315,bayes,Bayesian optimization,oracle
4,10,0,1653.165830419564,895.609871126432,bayes,Bayesian optimization,oracle
5,10,0,845.4983947583038,693.6162599506474,bayes,Bayesian optimization,oracle
6,10,0,646.535958594779,294.1383919252415,bayes,Bayesian optimization,oracle
7,10,0,633.3635859616959,287.4652983458107,bayes,Bayesian optimization,oracle
8,10,0,481.5427842582543,308.4398859652096,bayes,Bayesian optimization,oracle
9,10,0,350.6915801133919,315.750456386707,bayes,Bayesian optimization,oracle
10,10,0,350.6915801133919,315.750456386707,bayes,Bayesian optimization,oracle
11,10,0,217.68906891017247,161.16544045387437,bayes,Bayesian optimization,oracle
12,10,0,173.2518037562361,111.73735322527385,bayes,Bayesian optimization,oracle
13,10,0,154.6083367375516,84.76740864302249,bayes,Bayesian optimization,oracle
14,10,0,154.6083367375516,84.76740864302249,bayes,Bayesian optimization,oracle
15,10,0,154.6083367375516,84.76740864302249,bayes,Bayesian optimization,oracle
16,10,0,138.00615238734252,89.69393577445958,bayes,Bayesian optimization,oracle
17,10,0,110.16278083571224,79.23216040740887,bayes,Bayesian optimization,oracle
18,10,0,86.02155697493907,56.91896516205504,bayes,Bayesian optimization,oracle
19,10,0,86.02155697493907,56.91896516205504,bayes,Bayesian optimization,oracle
20,10,0,67.74629603100219,41.947578053245586,bayes,Bayesian optimization,oracle
21,10,0,67.74629603100219,41.947578053245586,bayes,Bayesian optimization,oracle
22,10,0,67.74629603100219,41.947578053245586,bayes,Bayesian optimization,oracle
23,10,0,64.05843278571712,42.99376167975177,bayes,Bayesian optimization,oracle
24,10,0,64.05843278571712,42.99376167975177,bayes,Bayesian optimization,oracle
25,10,0,52.359117207089035,22.492538152668217,bayes,Bayesian optimization,oracle
26,10,0,52.359117207089035,22.492538152668217,bayes,Bayesian optimization,oracle
27,10,0,52.359117207089035,22.492538152668217,bayes,Bayesian optimization,oracle
28,10,0,52.359117207089035,22.492538152668217,bayes,Bayesian optimization,oracle
29,10,0,52.359117207089035,22.492538152668217,bayes,Bayesian optimization,oracle
30,10,0,52.359117207089035,22.492538152668217,bayes,Bayesian optimization,oracle
31,10,0,45.18169075723207,14.903945052600793,bayes,Bayesian optimization,oracle
32,10,0,45.03848115120742,14.71338074272431,bayes,Bayesian optimization,oracle
33,10,0,45.03848115120742,14.71338074272431,bayes,Bayesian optimization,oracle
34,10,0,45.03848115120742,14.71338074272431,bayes,Bayesian optimization,oracle
35,10,0,45.03848115120742,14.71338074272431,bayes,Bayesian optimization,oracle
36,10,0,45.03848115120742,14.71338074272431,bayes,Bayesian optimization,oracle
37,10,0,45.03848115120742,14.71338074272431,bayes,Bayesian optimization,oracle
38,10,0,45.03848115120742,14.71338074272431,bayes,Bayesian optimization,oracle
39,10,0,40.91186010478089,12.106917341698018,bayes,Bayesian optimization,oracle
40,10,0,39.23134280572953,13.35006207473431,bayes,Bayesian optimization,oracle
41,10,0,39.23134280572953,13.35006207473431,bayes,Bayesian optimization,oracle
42,10,0,39.23134280572953,13.35006207473431,bayes,Bayesian optimization,oracle
43,10,0,32.82140178866327,11.801863535858846,bayes,Bayesian optimization,oracle
44,10,0,32.82140178866327,11.801863535858846,bayes,Bayesian optimization,oracle
45,10,0,32.82140178866327,11.801863535858846,bayes,Bayesian optimization,oracle
46,10,0,32.82140178866327,11.801863535858846,bayes,Bayesian optimization,oracle
47,10,0,30.38884748925502,12.6674538472417,bayes,Bayesian optimization,oracle
48,10,0,27.097583550126494,10.745591641015405,bayes,Bayesian optimization,oracle
49,10,0,27.097583550126494,10.745591641015405,bayes,Bayesian optimization,oracle
50,10,0,27.097583550126494,10.745591641015405,bayes,Bayesian optimization,oracle
0,10,0,2768.011159009592,781.4585533890221,random,Random search,oracle
1,10,0,2768.011159009592,781.4585533890221,random,Random search,oracle
2,10,0,2720.226179814989,882.1519966342105,random,Random search,oracle
3,10,0,2480.9330802484333,740.6684303376998,random,Random search,oracle
4,10,0,2290.36157331523,787.9489291691879,random,Random search,oracle
5,10,0,2290.36157331523,787.9489291691879,random,Random search,oracle
6,10,0,1847.6309521632556,504.61576648674054,random,Random search,oracle
7,10,0,1847.6309521632556,504.61576648674054,random,Random search,oracle
8,10,0,1822.8008570267234,503.5353188789161,random,Random search,oracle
9,10,0,1755.0316421694126,595.8179578287826,random,Random search,oracle
10,10,0,1755.0316421694126,595.8179578287826,random,Random search,oracle
11,10,0,1811.9523169774736,647.493286966458,random,Random search,oracle
12,10,0,1669.0872463770872,540.2112384998129,random,Random search,oracle
13,10,0,1669.0872463770872,540.2112384998129,random,Random search,oracle
14,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
15,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
16,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
17,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
18,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
19,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
20,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
21,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
22,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
23,10,0,1539.207251074556,421.2098160715266,random,Random search,oracle
24,10,0,1220.6057411590168,448.52341032628266,random,Random search,oracle
25,10,0,1220.6057411590168,448.52341032628266,random,Random search,oracle
26,10,0,1220.6057411590168,448.52341032628266,random,Random search,oracle
27,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
28,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
29,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
30,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
31,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
32,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
33,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
34,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
35,10,0,1104.2050608274833,418.852511356887,random,Random search,oracle
36,10,0,1063.4784736028116,432.58645402256406,random,Random search,oracle
37,10,0,1013.7763896318305,438.87802889875553,random,Random search,oracle
38,10,0,1013.7763896318305,438.87802889875553,random,Random search,oracle
39,10,0,1013.7763896318305,438.87802889875553,random,Random search,oracle
40,10,0,1013.7763896318305,438.87802889875553,random,Random search,oracle
41,10,0,1013.7763896318305,438.87802889875553,random,Random search,oracle
42,10,0,1013.7763896318305,438.87802889875553,random,Random search,oracle
43,10,0,1013.7763896318305,438.87802889875553,random,Random search,oracle
44,10,0,926.7937400379145,453.8543126825987,random,Random search,oracle
45,10,0,914.6019661045286,464.07727277748694,random,Random search,oracle
46,10,0,914.6019661045286,464.07727277748694,random,Random search,oracle
47,10,0,914.6019661045286,464.07727277748694,random,Random search,oracle
48,10,0,914.6019661045286,464.07727277748694,random,Random search,oracle
49,10,0,914.6019661045286,464.07727277748694,random,Random search,oracle
50,10,0,914.6019661045286,464.07727277748694,random,Random search,oracle
