method,trial,evaluation,objective,c8_hit,c8_center_distance_px,furthest_mirror,furthest_camera
random,2,74,,False,,1,0
random,2,75,,False,,1,0
random,2,76,,False,,1,0
random,2,77,,False,,1,0
random,2,78,,False,,1,0
random,2,79,,False,,1,0
random,2,80,,False,,1,0
random,2,81,,False,,1,0
random,2,82,,False,,1,0
random,2,83,,False,,1,0
random,2,84,,False,,1,0
random,2,85,,False,,1,0
random,2,86,,False,,1,0
random,2,87,,False,,1,0
random,2,88,,False,,1,0
random,2,89,,False,,1,0
random,2,90,,False,,1,0
random,2,91,,False,,1,0
random,2,92,,False,,1,0
random,2,93,,False,,1,0
random,2,94,,False,,1,0
random,2,95,,False,,1,0
random,2,96,,False,,1,0
random,2,97,,False,,1,0
random,2,98,,False,,1,0
random,2,99,,False,,1,0
random,2,100,,False,,1,0
random,3,1,,False,,1,0
random,3,2,,False,,1,0
random,3,3,,False,,1,0
random,3,4,,False,,1,0
random,3,5,,False,,1,0
random,3,6,,False,,1,0
random,3,7,,False,,1,0
random,3,8,,False,,1,0
random,3,9,,False,,1,0
random,3,10,,False,,1,0
random,3,11,,False,,1,0
random,3,12,,False,,1,0
random,3,13,,False,,1,0
random,3,14,,False,,1,0
random,3,15,,False,,1,0
random,3,16,,False,,1,0
random,3,17,,False,,1,0
random,3,18,,False,,1,0
random,3,19,,False,,1,0
random,3,20,,False,,1,0
random,3,21,,False,,1,0
random,3,22,,False,,1,0
random,3,23,,False,,1,0
random,3,24,,False,,1,0
random,3,25,,False,,1,0
random,3,26,,False,,1,0
random,3,27,,False,,1,0
random,3,28,,False,,1,0
random,3,29,,False,,1,0
random,3,30,,False,,1,0
random,3,31,,False,,1,0
random,3,32,,False,,1,0
random,3,33,,False,,1,0
random,3,34,,False,,1,0
random,3,35,,False,,1,0
random,3,36,,False,,1,0
random,3,37,,False,,1,0
random,3,38,,False,,1,0
random,3,39,,False,,1,0
random,3,40,,False,,1,1
random,3,41,,False,,1,1
random,3,42,,False,,1,0
random,3,43,,False,,1,0
random,3,44,,False,,1,0
random,3,45,,False,,1,0
random,3,46,,False,,1,1
random,3,47,,False,,1,0
random,3,48,,False,,1,0
random,3,49,,False,,1,0
random,3,50,,False,,1,0
random,3,51,,False,,2,1
random,3,52,,False,,1,0
random,3,53,,False,,1,0
random,3,54,,False,,1,0
random,3,55,,False,,1,0
random,3,56,,False,,1,0
random,3,57,,False,,1,0
random,3,58,,False,,1,0
random,3,59,,False,,1,0
random,3,60,,False,,1,0
random,3,61,,False,,1,0
random,3,62,,False,,1,0
random,3,63,,False,,1,0
random,3,64,,False,,1,0
random,3,65,,False,,1,0
random,3,66,,False,,1,0
random,3,67,,False,,1,0
random,3,68,,False,,1,0
random,3,69,,False,,1,0
random,3,70,,False,,1,0
random,3,71,,False,,1,0
random,3,72,,False,,1,0
random,3,73,,False,,1,0
random,3,74,,False,,1,0
random,3,75,,False,,1,0
random,3,76,,False,,1,0
random,3,77,,False,,1,0
random,3,78,,False,,1,0
random,3,79,,False,,1,0
random,3,80,,False,,1,0
random,3,81,,False,,2,3
random,3,82,,False,,1,0
random,3,83,,False,,1,0
random,3,84,,False,,1,0
random,3,85,,False,,1,0
random,3,86,,False,,1,0
random,3,87,,False,,1,0
random,3,88,,False,,1,0
random,3,89,,False,,1,0
random,3,90,,False,,1,0
random,3,91,,False,,1,0
random,3,92,,False,,1,0
random,3,93,,False,,1,0
random,3,94,,False,,1,0
random,3,95,,False,,1,0
random,3,96,,False,,1,0
random,3,97,,False,,1,0
random,3,98,,False,,1,1
random,3,99,,False,,1,0
random,3,100,,False,,1,0
random,4,1,,False,,1,0
random,4,2,,False,,1,0
random,4,3,,False,,1,0
random,4,4,,False,,2,1
random,4,5,,False,,1,0
random,4,6,,False,,1,0
random,4,7,,False,,1,0
random,4,8,,False,,2,1
random,4,9,,False,,1,0
random,4,10,,False,,1,0
random,4,11,,False,,1,0
random,4,12,,False,,1,0
random,4,13,,False,,2,1
random,4,14,,False,,1,0
random,4,15,,False,,1,0
random,4,16,,False,,1,0
random,4,17,,False,,1,0
random,4,18,,False,,1,0
random,4,19,,False,,1,0
random,4,20,,False,,1,0
random,4,21,,False,,1,0
random,4,22,,False,,1,0
random,4,23,,False,,1,0
random,4,24,,False,,1,0
random,4,25,,False,,1,0
random,4,26,,False,,1,0
random,4,27,,False,,1,0
random,4,28,,False,,1,0
random,4,29,,False,,1,0
random,4,30,,False,,1,1
random,4,31,,False,,1,0
random,4,32,,False,,1,1
random,4,33,,False,,1,0
random,4,34,,False,,2,1
random,4,35,,False,,1,0
random,4,36,,False,,1,0
random,4,37,,False,,1,0
random,4,38,,False,,1,0
random,4,39,,False,,1,0
random,4,40,,False,,1,0
random,4,41,,False,,1,0
random,4,42,,False,,1,0
random,4,43,,False,,1,0
random,4,44,,False,,1,0
random,4,45,,False,,2,1
random,4,46,,False,,1,0
random,4,47,,False,,1,0
random,4,48,,False,,1,0
random,4,49,,False,,1,0
random,4,50,,False,,1,0
random,4,51,,False,,1,0
random,4,52,,False,,1,0
random,4,53,,False,,1,0
random,4,54,,False,,1,0
random,4,55,,False,,1,0
random,4,56,,False,,1,0
random,4,57,,False,,2,1
random,4,58,,False,,1,0
random,4,59,,False,,2,1
random,4,60,,False,,1,0
random,4,61,,False,,1,0
random,4,62,,False,,1,0
random,4,63,,False,,1,1
random,4,64,,False,,1,0
random,4,65,,False,,1,0
random,4,66,,False,,1,0
random,4,67,,False,,1,0
random,4,68,,False,,1,1
random,4,69,,False,,1,0
random,4,70,,False,,1,0
random,4,71,,False,,1,0
random,4,72,,False,,1,0
random,4,73,,False,,1,0
random,4,74,,False,,1,0
random,4,75,,False,,1,0
random,4,76,,False,,1,0
random,4,77,,False,,1,0
random,4,78,,False,,1,0
random,4,79,,False,,1,0
random,4,80,,False,,1,0
random,4,81,,False,,1,0
random,4,82,,False,,1,1
random,4,83,,False,,1,0
random,4,84,,False,,1,0
random,4,85,,False,,1,0
random,4,86,,False,,1,0
random,4,87,,False,,1,0
random,4,88,,False,,1,0
random,4,89,,False,,2,1
random,4,90,,False,,1,0
random,4,91,,False,,1,0
random,4,92,,False,,1,0
random,4,93,,False,,1,0
random,4,94,,False,,1,1
random,4,95,,False,,1,0
random,4,96,,False,,1,0
random,4,97,,False,,2,1
random,4,98,,False,,1,0
random,4,99,,False,,1,0
random,4,100,,False,,2,0
random,5,1,,False,,1,0
random,5,2,,False,,2,1
random,5,3,,False,,1,0
random,5,4,,False,,1,0
random,5,5,,False,,1,0
random,5,6,,False,,1,0
random,5,7,,False,,1,0
random,5,8,,False,,1,0
random,5,9,,False,,1,0
random,5,10,,False,,1,0
random,5,11,,False,,1,0
random,5,12,,False,,2,1
random,5,13,,False,,1,0
random,5,14,,False,,1,0
random,5,15,,False,,2,3
random,5,16,,False,,1,1
random,5,17,,False,,1,0
random,5,18,,False,,1,0
random,5,19,,False,,1,0
random,5,20,,False,,1,0
random,5,21,,False,,1,0
random,5,22,,False,,1,0
random,5,23,,False,,2,1
random,5,24,,False,,1,0
random,5,25,,False,,1,0
random,5,26,,False,,1,0
random,5,27,,False,,1,0
random,5,28,,False,,2,1
random,5,29,,False,,1,0
random,5,30,,False,,1,0
random,5,31,,False,,1,0
random,5,32,,False,,1,0
random,5,33,,False,,2,2
random,5,34,,False,,1,0
random,5,35,,False,,1,0
random,5,36,,False,,1,0
random,5,37,,False,,1,0
random,5,38,,False,,1,0
random,5,39,,False,,1,1
random,5,40,,False,,1,0
random,5,41,,False,,1,0
random,5,42,,False,,1,0
random,5,43,,False,,1,0
random,5,44,,False,,1,0
random,5,45,,False,,1,0
random,5,46,,False,,1,0
random,5,47,,False,,1,0
random,5,48,,False,,1,0
random,5,49,,False,,1,0
random,5,50,,False,,1,0
random,5,51,,False,,1,1
random,5,52,,False,,2,1
random,5,53,,False,,1,0
random,5,54,,False,,1,0
random,5,55,,False,,1,0
random,5,56,,False,,1,0
random,5,57,,False,,1,0
random,5,58,,False,,1,0
random,5,59,,False,,1,0
random,5,60,,False,,1,0
random,5,61,,False,,1,1
random,5,62,,False,,1,0
random,5,63,,False,,1,0
random,5,64,,False,,1,0
random,5,65,,False,,1,0
random,5,66,,False,,2,1
random,5,67,,False,,2,1
random,5,68,,False,,1,0
random,5,69,,False,,1,0
random,5,70,,False,,1,0
random,5,71,,False,,1,0
random,5,72,,False,,1,0
random,5,73,,False,,2,2
random,5,74,,False,,1,0
random,5,75,,False,,1,0
random,5,76,,False,,1,0
random,5,77,,False,,1,0
random,5,78,,False,,1,0
random,5,79,,False,,1,0
random,5,80,,False,,1,0
random,5,81,,False,,2,1
random,5,82,,False,,1,0
random,5,83,,False,,1,0
random,5,84,,False,,1,0
random,5,85,,False,,2,3
random,5,86,,False,,1,0
random,5,87,,False,,1,0
random,5,88,,False,,1,0
random,5,89,,False,,1,0
random,5,90,,False,,1,0
random,5,91,,False,,1,0
random,5,92,,False,,1,0
random,5,93,,False,,1,0
random,5,94,,False,,1,0
random,5,95,,False,,1,0
random,5,96,,False,,1,0
random,5,97,,False,,2,2
random,5,98,,False,,1,1
random,5,99,,False,,1,0
random,5,100,,False,,1,0
random,6,1,,False,,1,0
random,6,2,,False,,1,0
random,6,3,,False,,1,0
random,6,4,,False,,1,0
random,6,5,,False,,1,0
random,6,6,,False,,1,0
random,6,7,,False,,1,0
random,6,8,,False,,1,0
random,6,9,,False,,1,0
random,6,10,,False,,1,0
random,6,11,,False,,1,1
random,6,12,,False,,1,0
random,6,13,,False,,1,0
random,6,14,,False,,1,0
random,6,15,,False,,1,1
random,6,16,,False,,1,0
random,6,17,,False,,1,0
random,6,18,,False,,1,0
random,6,19,,False,,1,0
random,6,20,,False,,1,0
random,6,21,,False,,1,0
random,6,22,,False,,1,0
random,6,23,,False,,1,0
random,6,24,,False,,1,0
random,6,25,,False,,1,0
random,6,26,,False,,1,0
random,6,27,,False,,1,0
random,6,28,,False,,1,0
random,6,29,,False,,1,0
random,6,30,,False,,1,0
random,6,31,,False,,1,0
random,6,32,,False,,1,0
random,6,33,,False,,1,0
random,6,34,,False,,1,0
random,6,35,,False,,1,0
random,6,36,,False,,1,0
random,6,37,,False,,1,0
random,6,38,,False,,1,0
random,6,39,,False,,1,0
random,6,40,,False,,1,0
random,6,41,,False,,1,0
random,6,42,,False,,1,0
random,6,43,,False,,1,0
random,6,44,,False,,1,0
random,6,45,,False,,1,0
random,6,46,,False,,1,0
random,6,47,,False,,1,0
random,6,48,,False,,1,0
random,6,49,,False,,1,0
random,6,50,,False,,1,0
random,6,51,,False,,1,0
random,6,52,,False,,1,0
random,6,53,,False,,1,0
random,6,54,,False,,1,0
random,6,55,,False,,1,0
random,6,56,,False,,1,0
random,6,57,,False,,1,0
random,6,58,,False,,1,0
random,6,59,,False,,1,0
random,6,60,,False,,1,0
random,6,61,,False,,1,0
random,6,62,,False,,1,0
random,6,63,,False,,1,0
random,6,64,,False,,1,0
random,6,65,,False,,1,0
random,6,66,,False,,1,0
random,6,67,,False,,1,0
random,6,68,,False,,1,0
random,6,69,,False,,1,0
random,6,70,,False,,1,0
random,6,71,,False,,1,0
random,6,72,,False,,1,0
random,6,73,,False,,1,0
random,6,74,,False,,1,0
random,6,75,,False,,1,0
random,6,76,,False,,1,0
random,6,77,,False,,1,0
random,6,78,,False,,1,0
random,6,79,,False,,1,0
random,6,80,,False,,1,0
random,6,81,,False,,1,0
random,6,82,,False,,1,0
random,6,83,,False,,1,0
random,6,84,,False,,1,0
random,6,85,,False,,1,0
random,6,86,,False,,1,0
random,6,87,,False,,1,0
random,6,88,,False,,1,0
random,6,89,,False,,1,0
random,6,90,,False,,1,0
random,6,91,,False,,1,0
random,6,92,,False,,1,0
random,6,93,,False,,1,0
random,6,94,,False,,1,0
random,6,95,,False,,1,0
random,6,96,,False,,1,0
random,6,97,,False,,1,0
random,6,98,,False,,1,0
random,6,99,,False,,1,0
random,6,100,,False,,1,0
random,7,1,,False,,1,0
random,7,2,,False,,1,0
random,7,3,,False,,1,0
random,7,4,,False,,1,0
random,7,5,,False,,1,0
random,7,6,,False,,1,0
random,7,7,,False,,1,0
random,7,8,,False,,1,0
random,7,9,,False,,1,0
random,7,10,,False,,1,0
random,7,11,,False,,1,0
random,7,12,,False,,1,0
random,7,13,,False,,1,0
random,7,14,,False,,1,0
random,7,15,,False,,1,0
random,7,16,,False,,1,0
random,7,17,,False,,1,0
random,7,18,,False,,1,0
random,7,19,,False,,1,0
random,7,20,,False,,1,0
random,7,21,,False,,1,0
random,7,22,,False,,1,0
random,7,23,,False,,1,0
random,7,24,,False,,1,0
random,7,25,,False,,1,1
random,7,26,,False,,1,0
random,7,27,,False,,1,0
random,7,28,,False,,1,0
random,7,29,,False,,1,0
random,7,30,,False,,1,0
random,7,31,,False,,1,0
random,7,32,,False,,1,0
random,7,33,,False,,1,0
random,7,34,,False,,1,0
random,7,35,,False,,1,0
random,7,36,,False,,1,0
random,7,37,,False,,1,0
random,7,38,,False,,1,0
random,7,39,,False,,2,1
random,7,40,,False,,1,0
random,7,41,,False,,1,0
random,7,42,,False,,1,0
random,7,43,,False,,1,0
random,7,44,,False,,1,0
random,7,45,,False,,1,0
random,7,46,,False,,1,0
random,7,47,,False,,1,0
random,7,48,,False,,1,0
random,7,49,,False,,1,0
random,7,50,,False,,1,0
random,7,51,,False,,1,0
random,7,52,,False,,2,1
random,7,53,,False,,1,0
random,7,54,,False,,1,0
random,7,55,,False,,1,0
random,7,56,,False,,1,0
random,7,57,,False,,1,0
random,7,58,,False,,1,0
random,7,59,,False,,1,0
random,7,60,,False,,1,0
random,7,61,,False,,3,1
random,7,62,,False,,1,0
random,7,63,,False,,1,0
random,7,64,,False,,1,0
random,7,65,,False,,1,0
random,7,66,,False,,1,0
random,7,67,,False,,1,0
random,7,68,,False,,1,0
random,7,69,,False,,1,0
random,7,70,,False,,1,0
random,7,71,,False,,1,0
random,7,72,,False,,1,0
random,7,73,,False,,2,1
random,7,74,,False,,1,0
random,7,75,,False,,1,0
random,7,76,,False,,1,0
random,7,77,,False,,1,0
random,7,78,,False,,1,0
random,7,79,,False,,1,0
random,7,80,,False,,1,0
random,7,81,,False,,1,0
random,7,82,,False,,1,0
random,7,83,,False,,1,0
random,7,84,,False,,1,0
random,7,85,,False,,1,0
random,7,86,,False,,1,0
random,7,87,,False,,1,0
random,7,88,,False,,1,0
random,7,89,,False,,1,0
random,7,90,,False,,1,0
random,7,91,,False,,1,0
random,7,92,,False,,1,0
random,7,93,,False,,1,0
random,7,94,,False,,1,0
random,7,95,,False,,1,0
random,7,96,,False,,1,0
random,7,97,,False,,1,0
random,7,98,,False,,1,0
random,7,99,,False,,1,0
random,7,100,,False,,1,0
random,8,1,,False,,1,0
random,8,2,,False,,1,0
random,8,3,,False,,1,0
random,8,4,,False,,1,0
random,8,5,,False,,1,0
random,8,6,,False,,1,0
random,8,7,,False,,1,0
random,8,8,,False,,1,0
random,8,9,,False,,1,0
random,8,10,,False,,1,1
random,8,11,,False,,1,0
random,8,12,,False,,1,0
random,8,13,,False,,1,0
random,8,14,,False,,1,0
random,8,15,,False,,1,0
random,8,16,,False,,1,0
random,8,17,,False,,1,0
random,8,18,,False,,1,0
random,8,19,,False,,1,1
random,8,20,,False,,1,0
random,8,21,,False,,1,0
random,8,22,,False,,2,1
random,8,23,,False,,1,0
random,8,24,,False,,1,0
random,8,25,,False,,1,0
random,8,26,,False,,1,1
random,8,27,,False,,1,0
random,8,28,,False,,1,0
random,8,29,,False,,1,0
random,8,30,,False,,1,0
random,8,31,,False,,1,0
random,8,32,,False,,1,0
random,8,33,,False,,1,0
random,8,34,,False,,1,0
random,8,35,,False,,1,0
random,8,36,,False,,1,0
random,8,37,,False,,1,0
random,8,38,,False,,1,0
random,8,39,,False,,1,0
random,8,40,,False,,1,0
random,8,41,,False,,1,1
random,8,42,,False,,1,0
random,8,43,,False,,1,0
random,8,44,,False,,1,0
random,8,45,,False,,1,0
random,8,46,,False,,1,0
random,8,47,,False,,1,0
random,8,48,,False,,1,0
random,8,49,,False,,1,0
random,8,50,,False,,1,0
random,8,51,,False,,1,0
random,8,52,,False,,1,0
random,8,53,,False,,1,0
random,8,54,,False,,1,0
random,8,55,,False,,1,0
random,8,56,,False,,1,0
random,8,57,,False,,1,0
random,8,58,,False,,1,0
random,8,59,,False,,1,0
random,8,60,,False,,1,0
random,8,61,,False,,1,0
random,8,62,,False,,1,0
random,8,63,,False,,1,0
random,8,64,,False,,1,0
random,8,65,,False,,1,0
random,8,66,,False,,1,0
random,8,67,,False,,1,0
random,8,68,,False,,1,0
random,8,69,,False,,1,0
random,8,70,,False,,1,0
random,8,71,,False,,1,0
random,8,72,,False,,1,0
random,8,73,,False,,1,0
random,8,74,,False,,1,0
random,8,75,,False,,1,1
random,8,76,,False,,1,0
random,8,77,,False,,1,0
random,8,78,,False,,1,0
random,8,79,,False,,1,0
random,8,80,,False,,1,0
random,8,81,,False,,1,0
random,8,82,,False,,1,0
random,8,83,,False,,1,0
random,8,84,,False,,1,0
random,8,85,,False,,1,0
random,8,86,,False,,1,0
random,8,87,,False,,1,0
random,8,88,,False,,1,0
random,8,89,,False,,1,0
random,8,90,,False,,1,0
random,8,91,,False,,1,0
random,8,92,,False,,1,0
random,8,93,,False,,1,0
random,8,94,,False,,1,0
random,8,95,,False,,1,0
random,8,96,,False,,1,0
random,8,97,,False,,1,0
random,8,98,,False,,1,0
random,8,99,,False,,1,0
random,8,100,,False,,1,0
random,9,1,,False,,1,0
random,9,2,,False,,1,0
random,9,3,,False,,1,0
random,9,4,,False,,1,0
random,9,5,,False,,1,0
random,9,6,,False,,1,0
random,9,7,,False,,1,0
random,9,8,,False,,1,0
random,9,9,,False,,1,0
random,9,10,,False,,1,0
random,9,11,,False,,1,0
random,9,12,,False,,1,0
random,9,13,,False,,1,0
random,9,14,,False,,1,0
random,9,15,,False,,1,0
random,9,16,,False,,1,0
random,9,17,,False,,1,0
random,9,18,,False,,1,0
random,9,19,,False,,1,0
random,9,20,,False,,1,0
random,9,21,,False,,1,0
random,9,22,,False,,1,0
random,9,23,,False,,1,0
random,9,24,,False,,1,0
random,9,25,,False,,2,1
random,9,26,,False,,1,0
random,9,27,,False,,1,0
random,9,28,,False,,1,0
random,9,29,,False,,1,0
random,9,30,,False,,1,0
random,9,31,,False,,1,0
random,9,32,,False,,1,0
random,9,33,,False,,1,0
random,9,34,,False,,1,0
random,9,35,,False,,1,0
random,9,36,,False,,1,0
random,9,37,,False,,1,0
random,9,38,,False,,1,0
random,9,39,,False,,2,1
random,9,40,,False,,1,0
random,9,41,,False,,1,0
random,9,42,,False,,2,2
random,9,43,,False,,1,0
random,9,44,,False,,1,0
random,9,45,,False,,1,0
random,9,46,,False,,1,0
random,9,47,,False,,1,0
random,9,48,,False,,1,0
random,9,49,,False,,1,0
random,9,50,,False,,1,0
random,9,51,,False,,1,0
random,9,52,,False,,1,0
random,9,53,,False,,1,0
random,9,54,,False,,1,0
random,9,55,,False,,1,0
random,9,56,,False,,1,0
random,9,57,,False,,1,0
random,9,58,,False,,1,0
random,9,59,,False,,1,1
random,9,60,,False,,1,0
random,9,61,,False,,1,0
random,9,62,,False,,1,0
random,9,63,,False,,2,1
random,9,64,,False,,1,0
random,9,65,,False,,1,0
random,9,66,,False,,1,0
random,9,67,,False,,1,0
random,9,68,,False,,1,0
random,9,69,,False,,1,0
random,9,70,,False,,1,0
random,9,71,,False,,1,0
random,9,72,,False,,1,0
random,9,73,,False,,2,3
random,9,74,,False,,1,0
random,9,75,,False,,1,0
random,9,76,,False,,1,0
random,9,77,,False,,1,0
random,9,78,,False,,1,0
random,9,79,,False,,1,0
random,9,80,,False,,1,0
random,9,81,,False,,1,0
random,9,82,,False,,1,0
random,9,83,,False,,1,0
random,9,84,,False,,1,0
random,9,85,,False,,1,0
random,9,86,,False,,1,0
random,9,87,,False,,1,0
random,9,88,,False,,1,0
random,9,89,,False,,1,0
random,9,90,,False,,1,0
random,9,91,,False,,1,0
random,9,92,,False,,1,0
random,9,93,,False,,1,0
random,9,94,,False,,1,0
random,9,95,,False,,1,0
random,9,96,,False,,1,0
random,9,97,,False,,1,0
random,9,98,,False,,1,0
random,9,99,,False,,1,0
random,9,100,,False,,1,0
random,10,1,,False,,1,0
random,10,2,,False,,1,0
random,10,3,,False,,1,0
random,10,4,,False,,1,0
random,10,5,,False,,1,0
random,10,6,,False,,1,0
random,10,7,,False,,1,0
random,10,8,,False,,1,0
random,10,9,,False,,1,0
random,10,10,,False,,1,0
random,10,11,,False,,1,0
random,10,12,,False,,2,1
random,10,13,,False,,1,1
random,10,14,,False,,1,0
random,10,15,,False,,1,0
random,10,16,,False,,1,0
random,10,17,,False,,1,0
random,10,18,,False,,1,0
random,10,19,,False,,1,0
random,10,20,,False,,1,0
random,10,21,,False,,1,0
random,10,22,,False,,1,0
random,10,23,,False,,1,0
random,10,24,,False,,1,0
random,10,25,,False,,1,0
random,10,26,,False,,1,0
random,10,27,,False,,1,0
random,10,28,,False,,1,0
random,10,29,,False,,1,0
random,10,30,,False,,1,0
random,10,31,,False,,1,0
random,10,32,,False,,1,0
random,10,33,,False,,1,0
random,10,34,,False,,1,0
random,10,35,,False,,1,0
random,10,36,,False,,2,0
random,10,37,,False,,1,0
random,10,38,,False,,2,3
random,10,39,,False,,1,0
random,10,40,,False,,2,1
random,10,41,,False,,1,0
random,10,42,,False,,1,0
random,10,43,,False,,2,1
random,10,44,,False,,1,0
random,10,45,,False,,1,0
random,10,46,,False,,1,0
random,10,47,,False,,1,0
random,10,48,,False,,1,0
random,10,49,,False,,1,0
random,10,50,,False,,1,0
random,10,51,,False,,1,0
random,10,52,,False,,1,0
random,10,53,,False,,1,0
random,10,54,,False,,1,0
random,10,55,,False,,1,0
random,10,56,,False,,1,0
random,10,57,,False,,1,0
random,10,58,,False,,1,0
random,10,59,,False,,1,0
random,10,60,,False,,1,0
random,10,61,,False,,1,1
random,10,62,,False,,1,0
random,10,63,,False,,1,0
random,10,64,,False,,1,0
random,10,65,,False,,1,0
random,10,66,,False,,1,0
random,10,67,,False,,1,0
random,10,68,,False,,1,0
random,10,69,,False,,1,0
random,10,70,,False,,1,0
random,10,71,,False,,1,0
random,10,72,,False,,1,0
random,10,73,,False,,1,0
random,10,74,,False,,2,1
random,10,75,,False,,1,0
random,10,76,,False,,1,1
random,10,77,,False,,1,0
random,10,78,,False,,1,0
random,10,79,,False,,1,0
random,10,80,,False,,1,0
random,10,81,,False,,1,0
random,10,82,,False,,1,0
random,10,83,,False,,1,0
random,10,84,,False,,1,0
random,10,85,,False,,1,1
random,10,86,,False,,1,0
random,10,87,,False,,2,1
random,10,88,,False,,1,0
random,10,89,,False,,1,0
random,10,90,,False,,1,0
random,10,91,,False,,1,0
random,10,92,,False,,1,0
random,10,93,,False,,1,0
