repeat_index,seed,completion_step,max_iterations,initial_legacy_normalized_rms_error,final_legacy_normalized_rms_error,initial_center_error,final_center_error,center_improvement,cost_dollars,run_wall_time_seconds,motor_configurations_seen,llm_responses,model_key,model_label
8,20340206,17,60,1.3382607437378216,0.0501858713543574,2198.4807321237095,63.58234727011594,2134.8983848535936,0.31491840000000004,285.9940491002053,18,17,gemini_3_5_flash,Gemini 3.5 Flash
9,20350179,15,60,0.9827877661045724,0.40420570666408967,1204.2270515694147,469.3793018421385,734.8477497272762,0.2785008,256.5124295996502,16,15,gemini_3_5_flash,Gemini 3.5 Flash
0,20260422,26,60,1.005844930963315,0.14959585315010313,1620.7150559954848,210.99495488127388,1409.720101114211,1.6877540000000002,661.6562099996954,27,26,claude_sonnet_5,Claude Sonnet 5
1,20270395,22,60,0.795061926940027,0.09325354029968215,870.0757477554594,120.15756057372343,749.9181871817359,1.190252,492.8264814000577,23,22,claude_sonnet_5,Claude Sonnet 5
2,20280368,23,60,1.3046541134769998,0.06535129655060411,2111.990620413575,91.11030378999172,2020.8803166235832,1.399756,588.7655691998079,24,23,claude_sonnet_5,Claude Sonnet 5
3,20290341,23,60,1.4167901729145367,0.08425766867131441,2356.9401553612493,96.17159646511479,2260.7685588961344,1.4491559999999999,544.523100300692,24,23,claude_sonnet_5,Claude Sonnet 5
4,20300314,36,60,1.6350551467598722,0.07630466667651388,2563.6611658105694,82.55070119656352,2481.1104646140057,2.702892,855.7050639009103,37,36,claude_sonnet_5,Claude Sonnet 5
5,20310287,51,60,1.3951695191278657,0.3303546108864306,1488.6688175918,352.3853581608901,1136.28345943091,5.357137999999999,1095.6101580001414,52,51,claude_sonnet_5,Claude Sonnet 5
6,20320260,29,60,1.568485331913493,0.2008095759812777,2204.637915240414,218.5552868780478,1986.082628362366,2.0924940000000003,755.0356868999079,30,29,claude_sonnet_5,Claude Sonnet 5
7,20330233,30,60,0.7624114954576688,0.11165602442023548,1205.4148976836639,160.08375137074682,1045.331146312917,2.4465820000000003,814.9308673003688,31,30,claude_sonnet_5,Claude Sonnet 5
8,20340206,33,60,1.3382607437378216,0.3702891759624218,2198.4807321237095,362.0006753997613,1836.480056723948,2.9259579999999996,884.1650850996375,34,33,claude_sonnet_5,Claude Sonnet 5
9,20350179,23,60,0.9827877661045724,0.12203389657675033,1204.2270515694147,129.83184780241913,1074.3952037669956,1.7175819999999997,645.6473196996376,24,23,claude_sonnet_5,Claude Sonnet 5
